date,fx_blue,fx_oficial,fx_mep,brecha,ipim_idx
2026-08-01,1353.9613220368076,1168.076082149057,1319.9804407562694,0.1591379557620546,100.0
2026-08-02,1354.4231405097028,1206.4770581149842,1327.7742191480258,0.12262651941833981,100.05454545454545
2026-08-03,1350.2627611710411,1204.2995213017605,1331.6707624699156,0.12120177521245293,100.10909090909091
2026-08-04,1373.6388460181204,1173.696426318942,1385.6820294419124,0.1703527549506619,100.16363636363636
2026-08-05,1376.199816406666,1191.2792297825822,1343.8490538076483,0.1552285828552835,100.21818181818182
2026-08-06,1401.0146673564875,1236.0269324754474,1407.0274677711916,0.13348231381221737,100.27272727272727
2026-08-07,1428.622869498608,1226.172541999228,1395.0813915342787,0.16510753630911706,100.32727272727273
2026-08-08,1436.2117531678227,1264.469560486492,1412.5407975019223,0.13582153184870244,100.38181818181818
2026-08-09,1436.5512489428686,1254.4122524993215,1432.3980538643862,0.1451986745829761,100.43636363636364
2026-08-10,1425.2391050950146,1242.5128285965188,1417.6302763797737,0.1470618832200665,100.49090909090908
2026-08-11,1445.8832924703552,1228.1152740147504,1457.7358434963394,0.17731887475327437,100.54545454545455
2026-08-12,1443.7198494473184,1230.2535174154036,1424.166152900553,0.17351410015098248,100.6
2026-08-13,1447.5635882683628,1273.4588629613506,1458.5443315416892,0.1367179815311366,100.65454545454546
2026-08-14,1454.242447895582,1279.3410941947077,1464.5238659600732,0.13671205786676266,100.7090909090909
2026-08-15,1447.8281980187226,1264.125511006101,1445.8343499057712,0.1453199744908359,100.76363636363637
2026-08-16,1444.3349583672807,1289.3031365628678,1402.1293018961378,0.12024466349915944,100.81818181818181
2026-08-17,1453.7171316590848,1276.830828781312,1456.4733386398539,0.1385354260647076,100.87272727272727
2026-08-18,1467.2031827431185,1246.450301684031,1476.0507224356563,0.17710524098781696,100.92727272727272
2026-08-19,1485.2442715142893,1269.1224990530632,1471.8095134543373,0.17029228669610863,100.98181818181818
2026-08-20,1488.5792893253515,1292.0487340162454,1455.6616024590655,0.1521076954258562,101.03636363636363
2026-08-21,1490.7390258096345,1297.2769985585512,1456.7974760164755,0.14912931275744934,101.0909090909091
2026-08-22,1502.8286820790481,1277.147084837198,1508.5631841273982,0.17670760080904735,101.14545454545454
2026-08-23,1498.8478011845643,1297.040659661087,1459.1128119845205,0.1555904512478499,101.2
